dateid,CalendarDate,CalendarQuarter,YearMonth,SubsidiaryCode,SubsidiaryName,TPId,TPNamee,DeviceName,PFAMName,ProductPartNbr, SellThruQTY , SellinQTY 
7/18/2019,7/18/2019,2019-Q3,201907,10,United States,47922,Retailer-3,Device-4,Device-1 i7/16/1TB GPU Comm,FVJXXXX, 0 , -   
3/17/2017,3/17/2017,2017-Q1,201703,10,United States,47922,Retailer-3,Device-1,Device-1 256GB i5 8GB,*!R3XXXX, 1 , -   
7/28/2016,7/28/2016,2016-Q3,201607,10,United States,47922,Retailer-3,Device-1,Device-1 256GB i5 8GB Commer Bundle,6DGXXXX, 1 , -   
8/26/2016,8/26/2016,2016-Q3,201608,10,United States,47922,Retailer-3,Device-1,Device-1 128GB M 4GB Commer EDU Bundle,TZ5XXXX, 0 , -   
5/22/2018,5/22/2018,2018-Q2,201805,10,United States,47922,Retailer-3,Device-2,Device-1 128GB M 4GB Comm M1796,FJSXXXX, 0 , -   
8/8/2018,8/8/2018,2018-Q3,201808,10,United States,47922,Retailer-3,Device-2,Device-1 LTE 256GB i5 8GB Comm M1807,GWPXXXX, 2 , -   
10/18/2018,10/18/2018,2018-Q4,201810,10,United States,47922,Retailer-3,Device-2,Device-1 256GB i7 8G Comm M1796,FKGXXXX, 1 , -   
12/13/2019,12/13/2019,2019-Q4,201912,10,United States,47922,Retailer-3,Device-3,Device-1 i7/16/512 GPU Comm,-0NMXXXX, 0 , -   
10/29/2019,10/29/2019,2019-Q4,201910,10,United States,47922,Retailer-3,Device-3,Device-1 i7/16/512 GPU Comm,-0NMXXXX, 0 , -   
5/29/2019,5/29/2019,2019-Q2,201905,10,United States,47922,Retailer-3,Device-3,Device-1 i5-8350/8/256 Comm,PGVXXXX, 0 , -   
9/17/2018,9/17/2018,2018-Q3,201809,10,United States,47922,Retailer-3,Device-3,Device-1 i5/8/256 Comm,-0MXXXXX, 0 , -   
3/7/2019,3/7/2019,2019-Q1,201903,10,United States,47922,Retailer-3,Device-2,Device-1 512GB i7 16GB Comm M1796,FKJXXXX, 2 , -   
9/19/2018,9/19/2018,2018-Q3,201809,10,United States,47922,Retailer-3,Device-2,Device-1 512GB i7 16GB Comm M1796,FKJXXXX, 1 , -   
3/17/2017,3/17/2017,2017-Q1,201703,10,United States,47922,Retailer-3,Device-1,Device-1 128GB i5 4GB Commer,9PYXXXX, 0 , -   
6/23/2017,6/23/2017,2017-Q2,201706,10,United States,47922,Retailer-3,Device-1,Device-1 128GB i5 4GB Commer,9PYXXXX, 7 , -   
9/26/2016,9/26/2016,2016-Q3,201609,10,United States,47922,Retailer-3,Device-1,Device-1 128GB i5 4GB Commer,9PYXXXX, 1 , -   
10/14/2016,10/14/2016,2016-Q4,201610,10,United States,47922,Retailer-3,Device-1,Device-1 256GB i7 8GB Commer,SU9XXXX, 0 , -   
3/16/2018,3/16/2018,2018-Q1,201803,10,United States,47922,Retailer-3,Device-2,Device-1 256GB i5 8GB Comm M1796,FJYXXXX, 0 , -   
8/3/2017,8/3/2017,2017-Q3,201708,10,United States,47922,Retailer-3,Device-1,Device-1 256GB i7 16GB Commer,T-05XXXX, 1 , -   
6/14/2017,6/14/2017,2017-Q2,201706,10,United States,47922,Retailer-3,Device-2,Device-1 1TB i7 16GB Comm M1796,FKLXXXX, 0 , -   
6/12/2017,6/12/2017,2017-Q2,201706,10,United States,47922,Retailer-3,Device-2,Device-1 256GB i5 8GB M1796,FJXXXXX, -   , 4 
6/18/2017,6/18/2017,2017-Q2,201706,10,United States,47922,Retailer-3,Device-2,Device-1 256GB i7 8G M1796,FJZXXXX, -   , 8 
10/20/2018,10/20/2018,2018-Q4,201810,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/256,-0MWXXXX, 17 , -   
12/19/2019,12/19/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 11 , -   
8/11/2019,8/11/2019,2019-Q3,201908,10,United States,27898,Retailer-1,Device-3,Device-1 i5-8350/8/256,PGUXXXX, 42 , -   
12/18/2017,12/18/2017,2017-Q4,201712,10,United States,27898,Retailer-1,Device-2,Device-1 256GB i5 8GB M1796,FJXXXXX, 3 , -   
9/11/2018,9/11/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 29 , -   
2/17/2017,2/17/2017,2017-Q1,201702,10,United States,27898,Retailer-1,Device-1,Device-1 256GB i5 8GB,*!R3XXXX, 77 , -   
8/19/2018,8/19/2018,2018-Q3,201808,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/256,-0MWXXXX, 192 , -   
1/9/2020,1/9/2020,2020-Q1,202001,10,United States,27898,Retailer-1,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, 4 , -   
9/6/2019,9/6/2019,2019-Q3,201909,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 29 , -   
6/11/2019,6/11/2019,2019-Q2,201906,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 19 , 58 
7/3/2018,7/3/2018,2018-Q3,201807,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/512 GPU,-0NLXXXX, 25 , -   
6/15/2018,6/15/2018,2018-Q2,201806,10,United States,27898,Retailer-1,Device-2,Device-1 512GB i7 16GB M1796,FK-0XXXX, 11 , -   
2/9/2017,2/9/2017,2017-Q1,201702,10,United States,27898,Retailer-1,Device-1,Device-1 128GB M 4GB No Pen Sustain,FMLXXXX, 19 , -   
10/14/2016,10/14/2016,2016-Q4,201610,10,United States,27898,Retailer-1,Device-1,Device-1 256GB i7 8GB,*!Q9XXXX, 30 , -   
4/8/2018,4/8/2018,2018-Q2,201804,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/256,-0MWXXXX, 120 , -   
3/19/2018,3/19/2018,2018-Q1,201803,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 1 , -   
5/5/2018,5/5/2018,2018-Q2,201805,10,United States,27898,Retailer-1,Device-2,Device-1 128GB i5 4GB M1796,FJTXXXX, 151 , -   
5/24/2018,5/24/2018,2018-Q2,201805,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 13 , -   
9/27/2018,9/27/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-2,Device-1 256GB i7 8G M1796,FJZXXXX, 35 , -   
3/11/2017,3/11/2017,2017-Q1,201703,10,United States,27898,Retailer-1,Device-1,Device-1 256GB i5 8GB,*!R3XXXX, 25 , -   
4/2/2019,4/2/2019,2019-Q2,201904,10,United States,27898,Retailer-1,Device-2,Device-1 R 128GB M4GB TCBndl DB M1796,LJJXXXX, 94 , 383 
